flow_id,src_ip,src_port,dst_ip,dst_port,duration_ms,total_packets,total_bytes,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,packet_rate_per_sec,byte_rate_per_sec,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,mean_iat_ms,min_iat_ms,max_iat_ms,std_iat_ms,syn_count,ack_count,fin_count,rst_count,psh_count,label_str,label
10.0.0.45:52519-91.190.219.143:443,10.0.0.45,52519,91.190.219.143,443,155.6110382080078,5.0,339.0,3.0,2.0,219.0,120.0,32.13139670282528,2178.508696451553,67.8,54.0,99.0,16.497272501841024,38.90275955200195,1.7409324645996094,68.24302673339844,25.89665179569554,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52520-91.190.218.125:443,10.0.0.45,52520,91.190.218.125,443,4777.910947799683,11.0,776.0,6.0,5.0,401.0,375.0,2.302261410934355,162.4140777168236,70.54545454545455,54.0,147.0,30.37751452027885,477.79109477996826,1.7039775848388672,3650.831937789917,1071.8614860688367,2.0,9.0,2.0,2.0,2.0,benign,0
10.0.0.45:52521-104.173.81.73:3759,10.0.0.45,52521,104.173.81.73,3759,1838.921070098877,19.0,1454.0,11.0,8.0,818.0,636.0,10.332145467765177,790.6810268489772,76.52631578947368,54.0,132.0,28.392675892231956,102.16228167215984,0.064849853515625,258.2781314849853,89.30106264358885,2.0,15.0,4.0,4.0,8.0,benign,0
10.0.0.45:52522-91.190.219.143:443,10.0.0.45,52522,91.190.219.143,443,160.552978515625,5.0,339.0,3.0,2.0,219.0,120.0,31.142368371032124,2111.452575555978,67.8,54.0,99.0,16.497272501841024,40.13824462890625,2.396106719970703,58.073997497558594,22.72304699181877,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52523-91.190.219.143:443,10.0.0.45,52523,91.190.219.143,443,173.018217086792,5.0,339.0,3.0,2.0,219.0,120.0,28.898691040677093,1959.331252557907,67.8,54.0,99.0,16.497272501841024,43.254554271698,1.368999481201172,61.72609329223633,24.752886503387877,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52524-91.190.219.143:443,10.0.0.45,52524,91.190.219.143,443,162.7650260925293,5.0,339.0,3.0,2.0,219.0,120.0,30.719130024637973,2082.7570156704546,67.8,54.0,99.0,16.497272501841024,40.69125652313232,3.086090087890625,63.80295753479004,24.99061054669553,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52525-91.190.219.143:443,10.0.0.45,52525,91.190.219.143,443,503.026008605957,7.0,492.0,4.0,3.0,318.0,174.0,13.915781451140464,978.0806391373012,70.28571428571429,54.0,99.0,18.82789940270468,83.83766810099284,3.136873245239258,273.684024810791,87.84873374229815,2.0,6.0,0.0,2.0,2.0,benign,0
10.0.0.45:52526-91.190.219.143:443,10.0.0.45,52526,91.190.219.143,443,115.28801918029784,5.0,339.0,3.0,2.0,219.0,120.0,43.36964097006946,2940.4616577707097,67.8,54.0,99.0,16.497272501841024,28.822004795074463,0.4899501800537109,56.08510971069336,27.27159493593682,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52527-91.190.219.143:443,10.0.0.45,52527,91.190.219.143,443,188.8129711151123,5.0,339.0,3.0,2.0,219.0,120.0,26.481231508992487,1795.4274963096905,67.8,54.0,99.0,16.497272501841024,47.20324277877808,1.0371208190917969,66.93387031555176,26.931390365473508,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52528-91.190.219.143:443,10.0.0.45,52528,91.190.219.143,443,243.04509162902832,5.0,339.0,3.0,2.0,219.0,120.0,20.57231424213144,1394.8029056165117,67.8,54.0,99.0,16.497272501841024,60.76127290725708,2.0799636840820312,125.10991096496582,43.59721217968917,2.0,4.0,0.0,1.0,1.0,benign,0
